Year,Round,Overall,Team,Player,Nat.,Pos,PosSimp,Age,To,YrsPlayed,AmateurTeam,AmateurLeague,GP,G,A,PTS,PlusMinus,PIM,Gpgoalie,Wgoalie,Lgoalie,TOTSOlossgoalie,SavePercgoalie,GAAgoalie,PS
2005,1,1,Pittsburgh Penguins,Sidney Crosby\crosbsi01,CA,C,C,18,2020,15,Rimouski (QMJHL),QMJHL,984,462,801,1263,175,673,0,0,0,0,0,0,154
2005,1,2,Anaheim Ducks,Bobby Ryan\ryanbo01,US,LW,W,18,2020,15,Owen Sound (OHL),OHL,833,254,301,555,2,443,0,0,0,0,0,0,63.8
2005,1,3,Carolina Hurricanes,Jack Johnson\johnsja02,US,D,D,18,2020,15,U.S. National U-18 (USNTDP),USNTDP,937,70,232,302,-114,521,0,0,0,0,0,0,51.9
2005,1,4,Minnesota Wild,Benoit Pouliot\poulibe01,CA,LW,W,18,2018,13,Sudbury (OHL),OHL,625,130,133,263,25,371,0,0,0,0,0,0,30.9
2005,1,5,Montreal Canadiens,Carey Price\priceca01,CA,G,G,18,2020,15,Tri-City (WHL),WHL,682,0,13,13,0,51,682,348,250,74,0.917,2.49,133
2005,1,6,Columbus Blue Jackets,Gilbert Brule\brulegi01,CA,C,C,18,2014,9,Vancouver (WCHL),WCHL,299,43,52,95,-39,156,0,0,0,0,0,0,7.3
2005,1,7,Chicago Blackhawks,Jack Skille\skillja01,US,RW,W,18,2017,12,U.S. National U-18 (USNTDP),USNTDP,368,43,41,84,-52,118,0,0,0,0,0,0,5.3
2005,1,8,San Jose Sharks,Devin Setoguchi\setogde01,CA,RW,W,18,2017,12,Saskatoon (WHL),WHL,516,131,130,261,-11,177,0,0,0,0,0,0,29.2
2005,1,9,Ottawa Senators,Brian Lee\leebr01,US,D,D,18,2013,8,Moorhead (High-MN),High,209,5,31,36,-37,124,0,0,0,0,0,0,4.8
2005,1,10,Vancouver Canucks,Luc Bourdon\bourdlu01,CA,D,D,18,2008,3,Val d'Or (QMJHL),QMJHL,36,2,0,2,6,24,0,0,0,0,0,0,1.5
