Player,gp,goals,assists,points,plusminus,PIM,pointShares,evenStrengthG,powerPlayG,shortHandG,gameWinningG,evenStrengthA,powerPlayA,shortHandA,shots,TOI,blocks,hits,foWins,foLosses,CorsiFor,CorsiAgainst,FenwickFor,FenwickAgainst,oiSHperc,oiSVperc,oZSperc,dZSperc,takeaways,giveaways,shotAttempts,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,PDO
A.J. Greer\greeraj01,37,1,5,6,-2,47,0.2,1,0,0,0,5,0,0,30,288,13,54,3,5,222,266,174,196,5.033333333333333,93,51.46666666666667,48.53333333333333,8,5,44,66.43333333333334,0.03333333333333333,7.783783783783784,0.375,0.45491803278688525,0.4702702702702703,98.03333333333333
Aaron Downey\downeaa01,123,5,8,13,-4,266,0.7,5,0,0,1,8,0,0,48,618,7,90,0,0,209,204,171,162,6.325,44.099999999999994,41.675,8.325,3,6,24,42.05,0.10416666666666667,5.024390243902439,NaN,0.5060532687651331,0.5135135135135135,50.425
Aaron Ekblad\ekblaaa01,458,71,141,212,29,275,40.9,47,23,1,16,106,34,1,1093,10313,494,501,0,0,7889,7503,6079,5838,9.4,90.73333333333333,52.400000000000006,47.599999999999994,199,435,2062,53.28333333333333,0.06495882891125343,22.517467248908297,NaN,0.5125389812889813,0.5101116052697826,100.13333333333334
Aaron Gagnon\gagnoaa01,38,3,2,5,-2,2,0.19999999999999996,3,0,0,1,2,0,0,28,319,14,24,86,77,282,261,191,185,5.75,94.525,50.025,49.975,11,2,59,49.825,0.10714285714285714,8.394736842105264,0.5276073619631901,0.5193370165745856,0.5079787234042553,100.275
Aaron Gavey\gaveyaa01,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NaN,NaN,NaN,0
Aaron Johnson\johnsaa01,262,15,39,54,3,195,11.6,12,3,0,2,34,5,0,230,3813,180,268,0,0,1988,2076,1508,1549,6.271428571428571,65.8,35.528571428571425,35.9,59,78,329,30.4,0.06521739130434782,14.553435114503817,NaN,0.4891732283464567,0.49329407916257767,72.07142857142857
Aaron MacKenzie\mackeaa01,5,0,0,0,1,0,0.2,0,0,0,0,0,0,0,3,73,8,6,0,0,56,47,46,34,3.1,100,50,50,1,0,8,37.5,0,14.6,NaN,0.5436893203883495,0.575,103.1
Aaron Miller\milleaa01,195,1,24,25,-21,119,4.7,1,0,0,1,21,1,2,115,3628,80,37,0,0,605,732,459,562,3.1666666666666665,30.566666666666666,13.133333333333333,20.2,15,29,68,13.233333333333334,0.008695652173913044,18.605128205128207,NaN,0.4525056095736724,0.4495592556317336,33.733333333333334
Aaron Ness\nessaa01,71,1,6,7,-7,22,1.2,1,0,0,0,6,0,0,50,976,80,40,0,0,786,894,570,672,7.75,92.5,59.95,40.05,7,23,116,38.666666666666664,0.02,13.746478873239436,NaN,0.46785714285714286,0.45893719806763283,100.25
Aaron Palushaj\palusaa01,68,3,11,14,-1,18,0.8999999999999999,3,0,0,0,11,0,0,71,616,25,66,2,12,597,538,415,397,6.5,92.375,49.125,50.875,17,13,129,53.025,0.04225352112676056,9.058823529411764,0.14285714285714285,0.5259911894273128,0.5110837438423645,98.875
Aaron Rome\romeaa01,226,6,22,28,-17,185,5.2,5,1,0,1,19,3,0,194,3563,265,308,0,0,2782,2831,2043,2120,6.3374999999999995,80.05,42.5375,44.975,31,77,457,36.9875,0.030927835051546393,15.765486725663717,NaN,0.49563513272759663,0.49075186163824164,86.3875
Aaron Volpatti\volpaaa01,114,5,2,7,-8,137,-0.5,5,0,0,0,2,0,0,63,904,32,257,9,11,623,821,465,581,4.06,94.98,39.66,60.36,11,11,131,45.62,0.07936507936507936,7.9298245614035086,0.45,0.4314404432132964,0.4445506692160612,99.04
Aaron Voros\vorosaa01,162,18,19,37,-22,395,2.7,14,4,0,2,18,1,0,148,1428,25,277,12,22,1050,1142,785,904,7.25,89.175,53.65,46.35,17,21,243,64.925,0.12162162162162163,8.814814814814815,0.35294117647058826,0.479014598540146,0.46477205447010067,96.425
Aaron Ward\wardaa01,358,19,58,77,1,297,16.2,18,0,1,4,50,4,4,284,6888,380,461,0,0,2822,2950,2113,2232,5.24,55.38,27.22,32.78,22,63,377,25,0.06690140845070422,19.24022346368715,NaN,0.4889119889119889,0.4863060989643268,60.620000000000005
