team,season,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,xGoalsPercentage,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,shotAttemptsFor,goalsFor,penaltiesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,xGoalsAgainst,shotsOnGoalAgainst,shotAttemptsAgainst,goalsAgainst,penaltiesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,goalDifferential,season_end,tm_season,next_year_pts_perc
VAN,2008-09,82,45,27,10,100,0.61,37,42,3,2.96,2.6,18.8,81.4,17.4,83.3,28.5,29.2,0.51,0.5,0.49,228.25,2299,4276,242,484,2412,1294,575,652,215.95,2360,4290,208,489,2255,1549,559,641,34,2009,VAN_2009,0.628
MTL,2008-09,82,41,30,11,93,0.567,30,34,7,2.95,2.93,19.3,82.4,16.3,85.1,30,31.7,0.5,0.49,0.49,237.09,2461,4660,242,487,2467,1974,646,965,240.31,2601,4917,240,484,2382,1827,613,897,2,2009,MTL_2009,0.537
WSH,2008-09,82,50,24,8,108,0.659,40,46,4,3.27,2.93,25.2,80.6,22,82.4,33.5,29.5,0.54,0.54,0.53,258.7,2748,5145,268,445,2467,1662,766,1011,220.94,2418,4440,240,394,2308,1728,705,867,28,2009,WSH_2009,0.738
BUF,2008-09,82,41,32,9,91,0.555,31,33,8,2.95,2.79,21,81.9,19.6,83.9,30.5,31.4,0.51,0.49,0.49,216.07,2507,4424,242,430,2239,1458,454,871,211.38,2575,4611,229,445,2484,1615,526,806,13,2009,BUF_2009,0.61
FLA,2008-09,82,41,30,11,93,0.567,34,38,3,2.82,2.72,16.6,82.6,13.6,84.9,29.4,34.7,0.48,0.47,0.46,227.85,2412,4399,231,365,2291,1562,494,602,247.38,2844,4988,223,368,2492,1718,479,572,8,2009,FLA_2009,0.47
DAL,2008-09,82,36,35,11,83,0.506,25,30,6,2.73,3.06,15.4,78.6,14.3,79.2,28.9,28.1,0.49,0.51,0.51,210.28,2370,4332,224,435,2120,2076,663,794,222.56,2304,4243,251,446,2313,2187,583,831,-27,2009,DAL_2009,0.537
SJS,2008-09,82,53,18,11,117,0.713,43,47,6,3.06,2.43,24.2,83.3,21.1,87.3,33.2,27.2,0.57,0.55,0.55,257.29,2720,4892,251,398,2472,2042,573,836,193.71,2228,4012,199,451,2124,1948,505,758,52,2009,SJS_2009,0.689
CBJ,2008-09,82,41,31,10,92,0.561,30,35,6,2.68,2.72,12.7,82.1,9,84.4,28.9,27.8,0.5,0.51,0.51,190.74,2371,4231,220,446,2398,1919,507,380,191.01,2281,4130,223,435,2283,2071,401,492,-3,2009,CBJ_2009,0.482
LAK,2008-09,82,34,37,11,79,0.482,26,29,5,2.46,2.76,19.2,82.9,16.9,84,29.1,28.1,0.51,0.51,0.51,225.29,2383,4590,202,462,2370,2128,464,928,220.77,2302,4377,226,461,2189,2009,474,925,-24,2009,LAK_2009,0.616
ARI,2008-09,82,36,39,7,79,0.482,32,33,3,2.5,3.04,14.5,76.8,13.4,78.5,28.1,31.6,0.47,0.46,0.47,195.56,2269,4157,200,387,2066,1793,381,402,223.8,2555,4808,248,433,2531,1771,445,498,-48,2009,ARI_2009,0.652
TOR,2008-09,82,34,35,13,81,0.494,24,28,6,2.98,3.49,18.8,74.7,16.7,76.6,31.7,30.3,0.49,0.5,0.51,240.65,2573,4850,242,408,2359,1736,586,841,249.21,2459,4792,283,422,2346,1923,691,849,-41,2009,TOR_2009,0.451
ANA,2008-09,82,42,33,7,91,0.555,30,35,7,2.9,2.87,23.6,79.7,21,81.3,30.3,30.5,0.51,0.5,0.5,227.6,2481,4336,238,521,2299,1758,476,671,222.71,2500,4279,235,432,2316,1678,502,636,3,2009,ANA_2009,0.543
PIT,2008-09,82,45,28,9,99,0.604,33,39,6,3.15,2.84,17.2,82.7,13.6,84.7,29,30.3,0.51,0.48,0.49,228.4,2381,4376,258,439,2310,1939,468,653,221.91,2484,4722,233,442,2395,2007,479,568,25,2009,PIT_2009,0.616
